English,Chinese
i,我
my,我的
out,出去
now,现在
okay,好的
were,是
take,拿
our,我们的
more,更多的
way,方式
sorry,对不起
sure,当然
first,第一的
wait,等待
new,新的
things,事物
fine,美好的
may,可能
understand,理解
trying,试
yourself,你自己
most,最多
head,头
idea,主意
myself,我
case,案件
gave,给了
minutes,分钟
afraid,害怕的
quite,相当
gets,得到
break,休息
high,高的
boys,男孩们
stupid,愚蠢的
full,满的
become,变得
hot,热的
alright,好吧
ha,哈
red,红色的
murder,谋杀
words,字
dance,舞蹈
till,直到
rather,相当
given,给定
wonderful,精彩的
worried,担心
report,报告
missing,丢失的
dark,黑暗的
system,系统
christmas,圣诞节
expect,预计
near,靠近
army,军队
sun,太阳
test,测试
charge,收费
fell,跌倒了
stick,戳
mum,妈妈
realize,意识到
obviously,明显地
cute,可爱的
continue,继续
shop,店铺
james,詹姆士
tree,树
gift,礼物
kitchen,厨房
london,伦敦
allow,允许
duty,责任
twice,两次
pregnant,孕
adam,亚当
hole,洞
ringing,铃声
interest,兴趣
nature,自然
shooting,射击
asleep,睡着了
large,大的
responsible,负责任的
commander,指挥官
dick,迪克
correct,正确的
language,语言
gotten,得到
chris,克里斯
screams,尖叫声
paying,支付
charles,查尔斯
records,记录
numbers,数字
jeff,杰夫
h,H
birds,鸟类
ugly,丑陋的
bullet,子弹
eric,埃里克
indistinct,模糊
friday,星期五
unit,单元
alarm,警报
slept,睡了
pig,猪
finger,手指
weather,天气
harm,伤害
safety,安全
returned,回
block,堵塞
showing,显示
gate,门
eggs,蛋
andy,安迪
owner,所有者
dating,约会
goodness,善良
ruin,废墟
tour,旅游
thief,贼
bless,保佑
rachel,雷切尔
suck,吸
humans,人类
ashamed,羞愧
carefully,小心
role,角色
sexy,性感的
plate,盘子
bang,砰
babies,婴儿
hunt,打猎
appointment,预约
midnight,午夜
leo,狮子座
piano,钢琴
iron,铁
miracle,奇迹
guards,守卫
stronger,更强
deeply,深
desert,沙漠
bone,骨
former,以前的
claim,宣称
loving,爱着
cast,投掷
stranger,陌生人
blake,布莱克
beast,兽
files,文件
successful,成功的
chattering,喋喋不休
exact,精确的
destiny,命运
reports,报告
knees,膝盖
chances,机会
helps,帮助
freeze,冻结
incident,事件
mexico,墨西哥
shoulder,肩膀
cameras,相机
puts,看跌期权
troops,军队
marty,马蒂
wishes,愿望
normally,通常情况下
wings,翅膀
flesh,肉
pushing,推动
ability,能力
naturally,自然
f,F
dozen,打
dirt,污垢
sally,莎莉
massive,大量的
jean,吉恩
accused,被告
damned,该死的
closet,壁橱
g,G
i,我
thursday,周四
germans,德国人
believes,相信
nuclear,核
wallet,钱包
anytime,任何时候
league,联盟
conditions,状况
plastic,塑料
entrance,入口
legend,传奇
bat,蝙蝠
sauce,酱
attend,出席
tyler,泰勒
bond,纽带
distant,遥远
wore,穿着
charged,带电
response,回复
everyday,每天
vampire,吸血鬼
sophie,苏菲
recording,记录
davis,戴维斯
beep,嘟
timing,定时
replace,代替
hail,冰雹
bishop,主教
ouch,哎哟
nearby,附近
pipe,管道
gray,灰色的
heroes,英雄
jess,杰西
chairman,主席
punk,朋克
merely,仅仅
reveal,揭示
instructions,指示
intelligent,聪明的
claims,索赔
wailing,哀号
listened,听过
slap,拍击
beneath,下面
liz,丽兹
technically,技术上
profile,轮廓
respond,回应
dates,日期
olivia,奥利维亚
threatening,威胁
studies,学习
protected,受保护的
walker,沃克
drill,钻头
supplies,补给品
dancer,舞蹈家
remote,偏僻的
daughters,女儿们
album,专辑
widow,寡妇
invisible,无形的
core,核
resistance,反抗
twins,双胞胎
tap,轻敲
beard,胡须
diana,戴安娜
solved,解决了
lemon,柠檬
crane,起重机
covering,覆盖
feeding,喂养
checks,检查
currently,现在
socks,袜子
basketball,篮球
musical,音乐
slide,滑动
motel,汽车旅馆
coughs,咳嗽
combat,战斗
catholic,天主教的
gloria,格洛丽亚
rocky,岩石
sack,解雇
logan,洛根
b.,b.
cuts,削减
advanced,先进的
contrary,相反
fu,福
focused,专注的
yells,喊叫
zoo,动物园
baron,男爵
sealed,密封
bacon,熏肉
chanting,念诵
packing,包装
bugs,虫子
ash,灰
nails,指甲
dana,布施
tire,胎
closely,密切
fairly,相当
sarge,中士
turtle,龟
identified,已确定
ellie,艾莉
drawer,抽屉
masters,大师
alike,一样
burger,汉堡包
shield,盾
gossip,八卦
economy,经济
et,等
taxes,税收
skinny,瘦骨嶙峋的
elsewhere,别处
samples,样品
arrow,箭
carpet,地毯
December,十二月
jules,儒勒
inches,英寸
misery,苦难
flame,火焰
emotion,情感
shitty,糟糕的
efforts,努力
peggy,佩吉
gibbs,吉布斯
mere,仅仅
dedicated,投入的
folk,民间
un,联合国
heels,高跟鞋
drum,鼓
wha,世界卫生大会
and-,和-
rumor,谣言
association,协会
curtis,柯蒂斯
cameron,卡梅伦
coal,煤炭
narrow,狭窄的
perspective,看法
somewhat,有些
compete,竞争
screwing,拧紧
execution,执行
rod,杆
brazil,巴西
alison,艾莉森
nicky,尼基
trucks,卡车
caleb,迦勒
brandy,白兰地
morris,莫里斯
performed,执行的
plug,插头
brenda,布伦达
products,产品
woody,木质的
naive,幼稚的
consent,同意
celebrity,名人
plague,瘟疫
originally,起初
beers,啤酒
recipe,食谱
secretly,偷偷
hockey,曲棍球
clues,线索
reporters,记者
katherine,凯瑟琳
seed,种子
ana,安娜
turtles,海龟
chuckle,轻笑
muslim,穆斯林
shrink,收缩
covers,盖子
elected,当选
shakespeare,莎士比亚
eager,渴望的
chen,陈
buddha,佛
survivor,幸存者
archer,射手
innocence,纯真
facebook,Facebook
customs,海关
regards,问候
stephanie,斯蒂芬妮
nicer,更好
villain,恶棍
logical,逻辑的
upbeat,乐观的
swamp,沼泽
vehicles,汽车
scares,恐慌
pursue,追求
fart,屁
crucial,至关重要的
fulfill,实现
danced,跳舞
3rd,第三名
hugo,雨果
denny,丹尼
locks,锁
elderman,长老
scenario,设想
hobby,爱好
tricked,被欺骗
miracles,奇迹
translation,翻译
murderers,杀人犯
dip,蘸
es,英语
howdy,你好
lifted,举起
dragging,拖拽
venus,金星
spying,间谍活动
reaches,达到
wax,蜡
invention,发明
melanie,梅兰妮
barks,吠叫
du,杜
jonas,乔纳斯
forcing,强迫
reese,里斯
randall,兰德尔
kane,凯恩
cope,应付
accountant,会计
higgins,希金斯
buster,巴斯特
rum,朗姆酒
wes,韦斯
cord,绳索
canal,运河
jose,何塞
shelf,架子
hangs,挂起
costumes,服装
peak,顶峰
controlling,控制
architect,建筑师
dose,剂量
stove,火炉
joshua,约书亚
nam,南
handful,少数
sweating,出汗
flowing,流动的
pine,松树
appointed,任命
lifestyle,生活方式
roosevelt,罗斯福
rushed,冲
approached,接近
mechanical,机械的
fare,票价
selected,已选择
scattered,疏散
volunteers,志愿者
zombies,僵尸
crackling,噼啪作响
mimi,咪咪
opinions,意见
pressed,按下
tray,托盘
y-you,你你
lure,饵
printed,打印
jupiter,木星
whack,重击
articles,文章
sensors,传感器
robe,长袍
exhibit,展示
compliments,赞美
urine,尿
catches,捕获物
dances,跳舞
listed,列出
burton,伯顿
krishna,克里希纳
associates,同事
followers,追随者
pawn,典当
leonardo,莱昂纳多
boil,熬
rapid,迅速的
janice,珍妮丝
thai,泰国
sushi,寿司
